Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
0,https://www.pepper.pl/promocje/polaryzowane-okulary-przeciwsloneczne-outdoorowe-sportowe-684282,Polaryzowane okulary przeciwsłoneczne outdoorowe sportowe,"['Home', 'Moda', 'Akcesoria modowe', 'Okulary przeciwsłoneczne']",210,31,20zł,-1,-1,Amazon.pl
1,https://www.pepper.pl/promocje/rower-gravel-kross-esker-60-pw-rozm-l-684662,Rower gravel Kross Esker 6.0 PW rozm. L,"['Home', 'Sport i turystyka', 'Sporty rowerowe i miejskie', 'Sporty rowerowe', 'Rowery']",249,20,5.999zł,7.499zł,-20%,place_of_bargain_price_not_available
2,https://www.pepper.pl/promocje/koszulki-pier-one-5-pack-t-shirt-basic-684530,Koszulki Pier One 5-pack T-shirt basic,"['Home', 'Moda', 'Odzież', 'Koszulki']",222,21,76zł,109zł,-30%,Zalando
3,https://www.pepper.pl/kupony/amazonde-rabat-5-euro-na-zakupy-mwz-15-euro-684665,"Amazon DE, FR rabat 5 euro na zakupy MWZ 15 euro","['Home', 'Dom i mieszkanie', 'Przybory kuchenne', 'Akcesoria kuchenne']",260,11,-1,-1,-1,Amazon.de
4,https://www.pepper.pl/promocje/oscyloskop-fnirsi-dso-tc3-at-banggood-683999,Oscyloskop FNIRSI DSO-TC3 @ Banggood,"['Home', 'Ogród i majsterkowanie']",221,24,"171,23zł",209zł,-18%,Banggood
5,https://www.pepper.pl/promocje/jack-daniels-sklep-internetowy-delio-07l-684667,"Whiskey Jack Daniels sklep internetowy delio 0,7l","['Home', 'Artykuły spożywcze', 'Napoje', 'Alkohole', 'Alkohole mocne', 'Whisky']",388,22,"69,99zł","99,99zł",-30%,Delio
6,https://www.pepper.pl/promocje/karta-graficzna-asrock-radeon-rx-6600-challenger-d-8gb-gddr6-rx6600-cld-8g-at-morele-684620,Karta graficzna ASRock Radeon RX 6600 Challenger D 8GB GDDR6 (RX6600 CLD 8G) @ Morele,"['Home', 'Elektronika', 'Komputery i tablety', 'Podzespoły komputerowe', 'Karty graficzne']",472,31,899zł,979zł,-8%,Morele.net
7,https://www.pepper.pl/promocje/gaz-lpg-auchan-poznan-komorniki-684442,"Paliwo Gaz LPG Auchan, Poznań Komorniki","['Home', 'Motoryzacja', 'Paliwo']",295,14,"2,58zł",-1,-1,Auchan
8,https://www.pepper.pl/promocje/inka-kawa-zbozowa-z-czekolada-i-malinami-120g-biedronka-684659,INKA kawa zbożowa z czekoladą i malinami 120g. BIEDRONKA,"['Home', 'Artykuły spożywcze', 'Napoje', 'Kawy']",346,18,"3,99zł","7,99zł",-50%,Biedronka
9,https://www.pepper.pl/promocje/tester-elementow-elektronicznych-lcr-tc1-684601,Tester elementów elektronicznych LCR TC1,"['Home', 'Elektronika']",305,31,"45,54zł",60zł,-24%,AliExpress
10,https://www.pepper.pl/promocje/bytom-antler4-czapka-z-daszkiem-684275,Bytom ANTLER4 - Czapka z daszkiem,"['Home', 'Moda', 'Akcesoria modowe', 'Czapki']",301,13,"19,90zł","59,90zł",-67%,Zalando
11,https://www.pepper.pl/promocje/chrupki-rings-199-zl-w-biedronce-684176,"Chrupki Rings 1,99 zł @Biedronka","['Home', 'Artykuły spożywcze', 'Jedzenie']",305,5,"1,99zł",-1,-1,Biedronka
12,https://www.pepper.pl/promocje/tv-tcl-50p735-50-1-640-zl-684242,"TV TCL 50P735 50 ""","['Home', 'Elektronika', 'TV i wideo', 'TV']",327,50,1.640zł,"1.999,99zł",-18%,Media Expert
13,https://www.pepper.pl/promocje/jacuzzi-ogrodowe-600-litrow-za-1104zl-at-allegro-684033,Jacuzzi ogrodowe 600 litrów za 1104zł @ Allegro,"['Home', 'Ogród i majsterkowanie', 'Ogród', 'Baseny']",318,25,"1.104,35zł",1.699zł,-35%,Allegro
14,https://www.pepper.pl/promocje/powerbank-baseus-star-lord-30000mah-225w-czarny-684320,"Powerbank Baseus Star-Lord 30000mAh 22,5W (czarny)","['Home', 'Elektronika', 'Komputery i tablety', 'Akcesoria i gadżety', 'Powerbanki']",317,17,119zł,158zł,-25%,Allegro
15,https://www.pepper.pl/promocje/za-darmo-kindle-ebooks-sql-6in1-excel-everyday-babies-keto-chaffle-windows-11-crockpot-cookbook-cozy-mystery-series-more-at-amazon-684501,"Za Darmo Kindle eBooks: SQL 6in1, Excel, Everyday Babies, Keto Chaffle, Windows 11, Cozy Mystery Series & More at Amazon","['Home', 'Elektronika', 'Oprogramowanie i aplikacje', 'Oprogramowanie', 'Systemy operacyjne', 'Windows']",321,1,ZA DARMO,"0,01zł",-1,Amazon.com
16,https://www.pepper.pl/promocje/darmowe-sample-cymatics-trap-hi-hat-loops-midi-678077,Darmowe Sample - Cymatics Trap Hi-Hat Loops & MIDI (mini pack),"['Home', 'Za darmo']",281,2,-1,-1,-1,Cymatics
17,https://www.pepper.pl/promocje/zegarek-meski-automatyczny-citizen-automatic-nh8350-08b-684607,Zegarek męski automatyczny Citizen Automatic NH8350-08B,"['Home', 'Moda', 'Akcesoria modowe', 'Zegarki']",247,9,"497,48zł",-1,-1,Timestore
18,https://www.pepper.pl/promocje/darmowe-assety-od-unreal-engine-czerwiec-684588,Darmowe assety od Unreal Engine - Czerwiec,"['Home', 'Gaming']",346,2,ZA DARMO,"0,01zł",-1,Unreal Engine
19,https://www.pepper.pl/promocje/spodenki-szorty-sportowe-joma-roz-xl-683657,"Spodenki, szorty sportowe Joma roz.. XL","['Home', 'Moda', 'Odzież', 'Spodnie']",650,28,"19,96zł",-1,-1,Amazon.pl
20,https://www.pepper.pl/promocje/sluchawki-hifiman-sundara-planarne-sprzedaz-i-wysylka-amazon-684397,Słuchawki Hifiman Sundara (planarne) sprzedaż i wysyłka Amazon,"['Home', 'Elektronika', 'Audio i HiFi', 'Słuchawki']",283,81,"1.258,93zł",1.420zł,-11%,Amazon.pl
21,https://www.pepper.pl/promocje/seagate-storage-expansion-card-1tb-do-xbox-series-x-i-s-stjr1000400-684638,Seagate Storage Expansion Card 1TB/2TB do Xbox Series X i S,"['Home', 'Gaming', 'Konsole', 'Xbox Series X']",791,26,659zł,879zł,-25%,Neonet
22,https://www.pepper.pl/promocje/thrustmaster-t300-rs-gt-edition-pcps3ps4ps5-684418,Thrustmaster T300 RS GT EDITION PC/PS3/PS4/PS5,"['Home', 'Gaming', 'Konsole', 'PS5']",229,13,1.499zł,-1,-1,x-kom
23,https://www.pepper.pl/promocje/rise-of-the-tomb-raider-20th-year-celebration-edition-turkey-vpn-at-xbox-one-xbox-series-677423,Rise of the Tomb Raider 20th Year Celebration Edition Turkey VPN @ Xbox One / Xbox Series,"['Home', 'Gaming', 'Gry wideo', 'Tomb Raider']",291,48,"9,08zł",-1,-1,Gamivo
24,https://www.pepper.pl/promocje/allegro-days-28x-gaz-do-kuchenki-gazowej-kartusz-gazowy-alpen-camping-400-ml-palnik-684525,"Allegro Days: 28x gaz do kuchenki gazowej, kartusz gazowy Alpen Camping 400 ml + palnik","['Home', 'Sport i turystyka', 'Outdoor i camping']",350,39,118zł,"166,90zł",-29%,Allegro
25,https://www.pepper.pl/promocje/google-pixel-7-opaska-google-fitbit-charge-5-amazonde-2434-zl-z-przesylka-684567,Google Pixel 7 + opaska Google Fitbit Charge 5 (Amazon.de) - 2436 zł z przesyłką,"['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony', 'Smartfony Google']",293,42,2.409zł,2.700zł,-11%,Amazon.de
